Unnamed_index;department;promoted;review;projects;salary;tenure;satisfaction;bonus;avg_hrs_month;left
0;operations;0;0.57756866;3;low;5;0.626758974;0;180.8660697;no
1;operations;0;0.751899661;3;medium;6;0.443678955;0;182.708149;no
2;support;0;0.722548449;3;medium;6;0.446823224;0;184.416084;no
3;logistics;0;0.675158309;4;high;8;0.440138746;0;188.7075448;no
4;sales;0;0.676203175;3;high;5;0.577607446;1;179.8210833;no
5;IT;0;0.683206347;2;medium;5;0.565251863;1;178.8418792;no
6;admin;0;0.620158015;4;high;5;0.68695117;0;181.1429562;no
7;support;0;0.499567262;4;medium;7;0.720451118;1;184.9775375;no
8;sales;0;0.652817953;4;low;6;0.678695937;0;183.6557898;no
9;sales;0;0.642030504;3;medium;6;0.623365009;0;181.8509999;no
10;support;0;;4;medium;5;0.559467668;0;178.9271942;no
11;engineering;0;0.799111103;3;medium;5;0.432532361;1;180.7795274;no
12;marketing;0;0.611419374;3;low;6;0.502041001;0;183.6666856;no
13;operations;0;0.647107389;3;medium;5;0.624035476;0;181.3056768;no
14;sales;0;0.567448543;3;medium;6;0.845246458;0;181.7565843;no
15;finance;0;0.582651415;3;medium;6;0.608027407;0;184.0290111;no
16;IT;0;0.679620922;4;low;6;0.480244995;0;183.4237873;no
17;admin;0;0.471118456;4;low;5;0.887439022;0;180.4437243;no
18;engineering;0;0.622523648;3;medium;6;0.688337149;0;182.5488455;no
19;operations;0;0.529695007;3;medium;6;0.682814201;1;184.12476;no
20;sales;0;0.669776718;2;medium;7;0.51135065;0;185.8270783;no
21;operations;0;0.75009163;2;medium;6;0.419142306;0;181.8434837;no
22;operations;0;0.610063377;4;medium;6;0.498221782;0;183.6039445;no
23;engineering;0;0.467498996;3;medium;4;0.829581403;0;178.0116217;no
24;retail;0;0.688567073;4;medium;5;0.542699182;1;180.4862533;no
25;sales;0;0.627223659;3;medium;5;0.684445555;0;180.7456085;no
26;operations;0;0.591894485;3;medium;4;0.721277093;1;178.0905438;no
27;retail;0;0.616258534;4;medium;4;0.702505699;1;176.1516748;no
28;retail;0;0.591482141;4;medium;5;0.702354616;0;180.8890738;no
29;retail;0;0.690832172;3;medium;6;0.500876577;0;181.7241903;no
30;marketing;0;0.630073379;3;medium;5;0.660926857;0;180.0287338;no
31;sales;0;0.555560317;4;medium;5;0.851984959;0;179.0647005;no
32;engineering;0;0.627036978;4;medium;7;0.702662574;0;185.1666973;no
33;operations;0;0.685612157;3;medium;6;0.465961807;0;181.7737269;no
34;sales;0;0.634536751;4;medium;6;0.552916558;0;182.2799715;no
35;logistics;0;0.723644183;4;medium;6;0.587785737;0;183.0227822;no
36;marketing;0;0.591177632;3;medium;6;0.614923637;0;183.6980143;no
37;support;0;0.636789399;4;medium;7;0.541076988;0;186.2136892;no
38;IT;0;0.707113117;4;medium;7;0.377903197;0;186.5171609;no
39;operations;0;0.577623446;3;medium;6;0.646175231;1;181.7507923;no
40;retail;0;;3;medium;4;0.550446154;0;176.3129082;no
41;sales;0;0.573101096;3;medium;4;0.639425543;0;176.458097;no
42;engineering;0;0.720286755;2;medium;6;0.506979313;1;181.866882;no
43;retail;0;0.682334155;3;medium;6;0.527869947;1;181.9661193;no
44;engineering;0;0.635995154;3;medium;6;0.495135891;0;181.8291168;no
45;engineering;0;0.675354756;2;medium;6;0.491409271;0;183.4312543;no
46;engineering;0;0.558905937;4;medium;6;0.728119263;0;182.9686037;no
47;sales;0;0.619963981;4;low;5;0.689442127;0;179.9664209;no
48;sales;0;0.653021771;4;high;6;0.605455037;0;183.7267373;no
49;support;0;0.520574177;3;medium;6;0.774199849;0;181.5911648;no
50;support;0;0.578368576;3;medium;6;0.757984175;0;183.1326446;no
51;sales;0;0.705069625;3;medium;5;0.571461069;0;180.4607235;no
52;marketing;0;0.521391297;4;medium;7;0.653859056;1;185.6498455;no
53;engineering;0;0.550427973;4;medium;6;0.653345948;0;182.7800199;no
54;sales;0;0.604285494;3;medium;4;0.787248236;0;177.7914259;no
55;marketing;0;0.681073387;4;medium;5;0.627455604;0;180.6106775;no
56;logistics;0;0.804161501;3;medium;5;0.463163253;0;181.126285;no
57;marketing;0;0.59657598;3;medium;5;0.827235737;0;178.9329113;no
58;IT;0;0.695907777;2;medium;5;0.528461259;1;180.5032894;no
59;engineering;0;0.677457804;3;medium;6;0.549078067;0;183.1411051;no
60;IT;0;0.581580461;3;medium;7;0.621280512;1;185.4414056;no
